order_id,total,amount,tipAmount,taxAmount,cashbackAmount,createdTime,product,product_price,order_total
4R01MG0CZYZ78,196.0,196,0.0,18,0,1784864097000,,,
6WHX5RZRERWA8,164.0,164,0.0,15,0,1784864073000,,,
28QM2TNDKQNQA,991.0,991,0.0,92,0,1784864045000,,,
QQ6XE22Y8HEQ0,991.0,991,0.0,92,0,1784864017000,,,
K6Y7ERBY5QEPT,1420.0,1420,0.0,132,0,1784863976000,,,
3YD8F4900AGJT,2695.0,2695,0.0,251,0,1784863947000,,,
8QJBZHZK635M4,1283.0,1283,0.0,119,0,1784863894000,,,
D0Q2AR9RPP4AA,196.0,196,,18,0,1784863785000,,,
Y9X71CKMC5Z5A,2255.0,2255,0.0,210,0,1784863737000,,,
NW8F91T9XPJ1T,1322.0,1322,,123,0,1784863707000,,,
VZ5G7TBNSWHCR,881.0,881,0.0,82,0,1784863560000,,,
HDJPR30J9VZ44,881.0,881,0.0,82,0,1784863528000,,,
ERJDD7QJ3WWP2,2203.0,2203,0.0,205,0,1784863525000,,,
19S6VSYC8AKBC,4185.0,4185,0.0,389,0,1784863283000,,,
CY5T8JH9Q33CE,3853.0,3853,0.0,358,0,1784863132000,,,
TXHGE1PP96844,,28,0.0,3,0,2026-07-24 10:03:38,Extra Sauce 2 Oz,25.0,28.0
HQVZY8AYNR2EW,,500,0.0,0,0,2026-07-24 09:31:40,Kitchen Employee Thali,500.0,500.0
R4B0HCBHN6XM2,,98,0.0,9,0,2026-07-24 09:29:10,Tea,89.0,98.0
ZTYV39NKQQ9XT,,1484,0.0,138,0,2026-07-24 09:09:31,Dhokla,0.0,1484.0
ZTYV39NKQQ9XT,,1484,0.0,138,0,2026-07-24 09:09:31,Puff Patties,0.0,1484.0
M9EQ6AF52QMXA,,881,0.0,82,0,2026-07-24 09:08:45,2 Veggie Combo,799.0,881.0
8PB5AZXHATSWA,,219,0.0,20,0,2026-07-24 09:06:38,Can Soda,199.0,219.0
7SXFGMQJG1Y04,,1865,254.0,173,0,2026-07-24 09:07:07,Samosa,149.0,1865.0
7SXFGMQJG1Y04,,1865,254.0,173,0,2026-07-24 09:07:07,Can Soda,199.0,1865.0
7SXFGMQJG1Y04,,1865,254.0,173,0,2026-07-24 09:07:07,Puff Patties,0.0,1865.0
PZJ51DVBQDTWJ,,1322,0.0,123,0,2026-07-24 09:03:13,Chinese Combo Plate,1199.0,1322.0
M0SVSCRVN1BFM,,1936,0.0,180,0,2026-07-24 09:01:26,Roti 1 Piece,79.0,1936.0
M0SVSCRVN1BFM,,1936,0.0,180,0,2026-07-24 09:01:26,2 Veggie Combo,799.0,1936.0
RD37Y237WXJAR,,2863,,266,0,2026-07-24 08:54:12,Roti (10 Pack),549.0,2863.0
RD37Y237WXJAR,,2863,,266,0,2026-07-24 08:54:12,1 Dal/Sabzi Large,0.0,2863.0
5BJ613C28025A,,1529,69.0,142,0,2026-07-24 08:51:00,Tea,89.0,1529.0
5BJ613C28025A,,1529,69.0,142,0,2026-07-24 08:51:00,Roti (5 Pack),299.0,1529.0
5BJ613C28025A,,1529,69.0,142,0,2026-07-24 08:51:00,3 Veggie Combo Premium,999.0,1529.0
5349G29G3ZQ1E,,1154,0.0,107,0,2026-07-24 08:47:33,Roti (10 Pack),549.0,1154.0
5349G29G3ZQ1E,,1154,0.0,107,0,2026-07-24 08:47:33,Puff Patties,0.0,1154.0
CCWN62C2AV7QP,,1653,0.0,154,0,2026-07-24 08:47:00,1 Dal/Sabzi Large,0.0,1653.0
72XQ32EMTMWZ8,,2644,0.0,246,0,2026-07-24 08:46:57,Chinese Combo Plate,1199.0,2644.0
SPR5XF43CXY94,,2542,0.0,225,0,2026-07-24 08:43:34,Onion,60.0,2542.0
SPR5XF43CXY94,,2542,0.0,225,0,2026-07-24 08:43:34,1 Dal/Sabzi Small,0.0,2542.0
SPR5XF43CXY94,,2542,0.0,225,0,2026-07-24 08:43:34,Veg Fried Rice,0.0,2542.0
QP86A4VH45BM8,,1212,0.0,113,0,2026-07-24 08:41:57,Hakka Noodles,0.0,1212.0
4EFS141B2X8MA,,98,0.0,9,0,2026-07-24 08:41:34,Tea,89.0,98.0
